track,album_name,release_date,album_uri,song_uri,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mode,key,valence,duration
Give Life Back to Music (Drumless Edition),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:3HmKTOTV4sxvQocdkDdb0u,45,0.124,0.549,0.481,0.42,0.135,-11.245,0.0595,118.954,4,0,9,0.802,275520
The Game of Love (Drumless Edition),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:5ji1dPNLh6c9mvK7XoNOjM,43,0.932,0.575,0.396,0.194,0.107,-14.872,0.0548,179.903,4,0,9,0.378,322307
Giorgio by Moroder (Drumless Edition),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:30rdWWtFS20ROidDcitfHf,43,0.272,0.589,0.538,0.623,0.384,-13.064,0.0519,113.075,4,0,9,0.552,545520
Within (Drumless Edition),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:28ghWbRd3ZlaeYdKklfQDJ,47,0.947,0.592,0.196,0.488,0.118,-16.833,0.0355,110.11,4,0,10,0.049,228493
Instant Crush (Drumless Edition) (feat. Julian Casablancas),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:2jmKcUO1mjqU4uypiDvpny,47,0.498,0.487,0.505,0.779,0.0865,-10.184,0.0305,137.191,5,0,10,0.202,337400
Lose Yourself to Dance (Drumless Edition) (feat. Pharrell Williams),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:0kad6OnJfgIEplpjja5jfl,44,0.385,0.671,0.725,0.000845,0.0784,-7.587,0.0621,199.844,4,0,10,0.912,354400
Touch (Drumless Edition) (feat. Paul Williams),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:64xYUSFAQhkXL9bWZfvgDV,41,0.717,0.208,0.338,0.159,0.0811,-13.77,0.0571,69.515,3,0,6,0.159,499813
Get Lucky (Drumless Edition) (ft. Pharrell Williams and Nile Rodgers),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:2jyjdujFPnzqtCr3229yls,43,0.358,0.854,0.578,0.0,0.0861,-10.602,0.0452,116.052,4,0,6,0.845,369747
Beyond (Drumless Edition),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:4MeKGdl7CImLdWxvjB9lTa,42,0.861,0.432,0.442,0.757,0.383,-12.891,0.0351,103.998,4,0,8,0.716,290333
Motherboard (Drumless Edition),Random Access Memories (Drumless Edition),2023-11-17,spotify:album:5AFf68gtvNgGLZarsyEEL8,spotify:track:444SlMZ9mcxTHiB7J1H6IF,44,0.906,0.511,0.453,0.894,0.663,-17.414,0.0371,102.902,4,0,4,0.13,341853
