track,album_name,release_date,album_uri,song_uri,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mode,key,valence,duration
United In Grief,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:5Gt9bxniM1SxN61yRzRhXL,76,0.244,0.529,0.845,0.0,0.143,-8.142,0.404,85.63,3,1,8,0.331,255378
N95,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:0fX4oNGBWO3dSGUZcVdVV2,79,0.377,0.79,0.67,2.32e-06,0.119,-5.527,0.105,139.956,4,1,1,0.408,195950
Worldwide Steppers,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:66mVPWmFvXPFf8pjK5ttOW,62,0.753,0.514,0.472,0.00012,0.0746,-11.106,0.368,77.215,3,0,8,0.557,203367
Die Hard,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:2g6tReTlM2Akp41g0HaeXN,76,0.319,0.775,0.736,0.00116,0.127,-8.072,0.247,100.988,4,0,1,0.362,239027
Father Time (feat. Sampha),Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:28qA8y1sz0FTuSapsCxNOG,72,0.181,0.514,0.779,0.0,0.099,-4.365,0.344,152.869,4,0,10,0.517,222497
Rich - Interlude,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:15pyFQHCTVp6T7vaWctSgO,58,0.864,0.481,0.406,0.000315,0.0869,-11.52,0.0775,91.589,4,1,7,0.741,103319
Rich Spirit,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:1QPreu0BNOrUfEb8HTd2qG,76,0.428,0.852,0.421,2.28e-06,0.106,-9.153,0.208,95.977,4,0,10,0.457,202285
We Cry Together,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:67XC51nlZncNpHmZ8rOU9a,64,0.292,0.648,0.68,0.0,0.0808,-7.276,0.345,106.89,3,1,11,0.504,341307
Purple Hearts,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:1REVvAphiSTJyKQ1fDpHa4,65,0.167,0.567,0.824,2.65e-06,0.149,-6.973,0.296,138.202,4,0,3,0.737,329295
Count Me Out,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:6BU1RZexmvJcBjgagVVt3M,75,0.671,0.776,0.431,0.0,0.153,-7.544,0.091,133.999,4,0,4,0.495,283642
Crown,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:4zMxWSP2qZUy5CBCH5PdzZ,60,0.801,0.355,0.245,9.11e-05,0.112,-13.475,0.0358,173.329,4,0,1,0.162,264299
Silent Hill,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:3lzUeaCbcCDB5IXYfqWRlF,69,0.438,0.907,0.577,3.19e-05,0.137,-6.737,0.0767,140.07,4,0,1,0.801,220779
Savior - Interlude,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:5G4uLkFKdEZLcuNyeomQmE,59,0.807,0.618,0.43,0.0,0.189,-9.38,0.216,117.125,4,0,5,0.826,152986
Savior,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:3drdWsJKiVCSQ2gKhd9BDT,67,0.495,0.605,0.692,0.0,0.303,-7.45,0.446,124.84,5,1,8,0.685,224466
Auntie Diaries,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:1uY1X8YeBixs1FdQ3fQ7d4,59,0.745,0.52,0.375,0.0122,0.429,-13.409,0.358,127.544,5,1,0,0.589,281070
Mr. Morale,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:6CmpZfKUQ2KerzBFZ3QKFr,64,0.283,0.727,0.53,2.76e-05,0.392,-8.616,0.312,174.025,3,1,9,0.258,210841
Mother I Sober (feat. Beth Gibbons of Portishead),Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:346SJSEbB6pNZMpwovxDiu,59,0.87,0.492,0.369,2.85e-05,0.11,-14.861,0.329,140.012,4,0,8,0.491,406528
Mirror,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:5xoYormSTltk6F9SlQV6mm,65,0.225,0.652,0.67,1.4e-05,0.0804,-8.766,0.0639,91.933,4,1,2,0.274,256008
The Heart Part 5,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:79ONNoS4M9tfIA1mYLBYVX,spotify:track:5qbhVL3vB7HwWvb0042B7y,62,0.183,0.7,0.812,0.0,0.0756,-8.128,0.297,97.405,4,0,1,0.801,332229
Black Panther,Black Panther The Album Music From And Inspired By,2018-02-09,spotify:album:3pLdWdkj83EYfDN6H2N8MR,spotify:track:5qN4HFkapdAOV94XPryVof,54,0.625,0.618,0.582,3.84e-06,0.265,-9.454,0.297,90.035,4,1,1,0.48,130613
All The Stars (with SZA),Black Panther The Album Music From And Inspired By,2018-02-09,spotify:album:3pLdWdkj83EYfDN6H2N8MR,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,88,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,4,1,8,0.552,232187
X (with 2 Chainz & Saudi),Black Panther The Album Music From And Inspired By,2018-02-09,spotify:album:3pLdWdkj83EYfDN6H2N8MR,spotify:track:4LmAnpjlhWTahvRkYR8xJa,64,0.0201,0.768,0.471,0.0,0.268,-8.406,0.259,131.023,4,1,2,0.405,267427
The Ways (with Swae Lee),Black Panther The Album Music From And Inspired By,2018-02-09,spotify:album:3pLdWdkj83EYfDN6H2N8MR,spotify:track:5jyyPsIGM2yqkZN9R3TmvN,61,0.0626,0.727,0.72,1.21e-06,0.176,-5.856,0.0488,140.08,4,0,11,0.589,238893
Opps (with Yugen Blakrok),Black Panther The Album Music From And Inspired By,2018-02-09,spotify:album:3pLdWdkj83EYfDN6H2N8MR,spotify:track:7bUcBztfGqO7cSI2gMZeCI,55,0.152,0.706,0.775,3.32e-05,0.416,-6.819,0.335,127.929,4,1,1,0.847,180893
I Am,Black Panther The Album Music From And Inspired By,2018-02-09,spotify:album:3pLdWdkj83EYfDN6H2N8MR,spotify:track:0DJBgBiYeSn6n1AXAkFVE8,57,0.144,0.601,0.583,9.73e-05,0.183,-5.725,0.263,148.785,4,0,8,0.32,208760
Paramedic!,Black Panther The Album Music From And Inspired By,2018-02-09,spotify:album:3pLdWdkj83EYfDN6H2N8MR,spotify:track:2tPcTFiQF9MbVUyjZ3zDhA,63,0.177,0.856,0.652,0.0,0.193,-5.324,0.143,97.017,4,1,1,0.471,219307
