track,album_name,release_date,album_uri,song_uri,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mode,key,valence,duration
HYAENA,UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:0hL9gOw6XBWsygEUcVjxEc,80,0.0305,0.608,0.754,0.0,0.119,-5.277,0.0719,97.071,4,1,8,0.455,222085
THANK GOD,UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:1PH2MDbcBAU094DlgTIND1,81,0.254,0.657,0.553,0.0,0.129,-7.08,0.0394,134.925,4,0,10,0.576,184889
MODERN JAM (feat. Teezo Touchdown),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:3KCNiDi9Pza6ZD8FggNoaw,78,0.000564,0.517,0.539,1.4e-05,0.537,-6.474,0.038,108.984,4,0,9,0.531,255413
MY EYES,UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:4kjI1gwQZRKNDkw1nI475M,90,0.651,0.455,0.621,2.59e-06,0.123,-7.694,0.0517,119.043,4,0,0,0.28,251250
GOD'S COUNTRY,UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:04WxWo7XeVyx22xEsrWRUb,78,0.0229,0.624,0.65,1.21e-05,0.145,-5.819,0.0358,150.048,4,1,2,0.138,127992
SIRENS,UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:7LSpFCvRZZot2AlmkUzy9k,78,0.0976,0.588,0.88,0.000167,0.767,-6.117,0.0747,96.003,3,0,9,0.242,204447
MELTDOWN (feat. Drake),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:67nepsnrcZkowTxMWigSbb,86,0.012,0.557,0.774,0.0,0.396,-5.275,0.351,111.975,4,0,7,0.397,246134
FE!N (feat. Playboi Carti),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:42VsgItocQwOQC3XWZ8JNA,93,0.0316,0.569,0.882,0.0,0.142,-2.777,0.06,148.038,4,0,3,0.201,191701
DELRESTO (ECHOES) (feat. Beyoncé),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:0OEe83mMZ5kaNw5uZQ7ilG,76,0.461,0.674,0.609,0.0,0.328,-6.306,0.045,116.066,4,0,2,0.509,274138
I KNOW ?,UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:6wsqVwoiVH2kde4k4KKAFU,91,0.0186,0.927,0.619,0.0,0.104,-4.441,0.0539,117.995,4,0,5,0.817,211582
TOPIA TWINS (feat. Rob49 & 21 Savage),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:0lodMO0qK83vfPiiD7FMEt,84,0.06,0.715,0.567,0.0,0.0655,-4.481,0.0865,160.098,4,0,1,0.332,223174
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:4GL9GMX9t7Qkprvf1YighZ,77,0.000779,0.682,0.764,0.0089,0.373,-6.314,0.0327,125.018,4,1,1,0.248,258843
PARASAIL (feat. Yung Lean & Dave Chappelle),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:2Q0aElTZQtEUsoiaQfizu6,74,0.858,0.361,0.395,0.00356,0.211,-8.51,0.0429,75.923,3,0,5,0.208,154964
SKITZO (feat. Young Thug),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:0bkV1iQHSxBaksUqgEkcbc,78,0.103,0.472,0.551,0.0,0.345,-7.219,0.25,83.25,4,0,5,0.347,366593
LOST FOREVER (feat. Westside Gunn),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:7EiUtdeoWcKqLi5ELZCjYf,76,0.085,0.645,0.803,0.0,0.101,-4.223,0.227,89.499,4,1,1,0.314,163072
LOOOVE (feat. Kid Cudi),UTOPIA,2023-07-28,spotify:album:18NOKLkZETa4sWwLMIm0UZ,spotify:track:0a4SMs889NwP8oWI7Vemle,76,0.0712,0.678,0.739,0.0,0.388,-4.358,0.044,110.967,4,1,3,0.108,226715
